T{6;9;10}
T{7;11;12}
T{13;3;65}
T{4;14;15}
T{24;83;90}
T{9;70;10}
T{22;84;21}
T{84;86;13}
T{14;23;15}
T{83;24;17}
T{18;26;19}
T{27;20;19}
T{23;22;29}
T{26;32;27}
T{32;33;27}
T{33;77;28}
T{77;92;21}
T{76;36;25}
T{37;31;36}
T{71;69;46}
T{34;71;38}
T{40;39;47}
T{37;44;45}
T{46;75;38}
T{89;41;87}
T{49;43;55}
T{35;43;49}
T{50;44;49}
T{45;67;81}
T{47;52;53}
T{89;53;54}
T{42;55;43}
T{51;58;52}
T{54;63;48}
T{88;82;78}
T{60;57;56}
T{61;57;60}
T{99;80;58}
T{1;68;2}
T{4;91;14}
T{97;8;5}
T{6;68;1}
T{68;10;7}
T{90;5;16}
T{9;17;18}
T{70;9;18}
T{10;11;7}
T{20;11;70}
T{84;22;86}
T{86;23;14}
T{23;79;15}
T{17;9;83}
T{28;20;27}
T{17;25;18}
T{31;26;25}
T{77;34;92}
T{22;92;29}
T{72;64;30}
T{36;76;35}
T{31;32;26}
T{37;32;31}
T{43;94;42}
T{44;37;36}
T{53;40;47}
T{50;74;45}
T{81;67;46}
T{47;38;75}
T{40;53;89}
T{89;54;48}
T{49;55;82}
T{56;57;74}
T{52;80;53}
T{61;58;57}
T{54;80;62}
T{89;87;40}
T{65;3;2}
T{69;71;33}
T{25;36;31}
T{66;12;11}
T{34;39;73}
T{77;71;34}
T{67;51;75}
T{29;79;23}
T{68;65;2}
T{80;99;62}
T{28;27;33}
T{35;44;36}
T{38;39;34}
T{11;20;66}
T{18;19;70}
T{12;65;7}
T{71;77;33}
T{24;30;76}
T{19;20;70}
T{19;26;27}
T{96;30;90}
T{29;85;79}
T{57;51;74}
T{87;73;40}
T{82;50;49}
T{67;74;51}
T{6;93;9}
T{13;91;3}
T{13;12;84}
T{75;52;47}
T{75;46;67}
T{76;25;24}
T{76;64;35}
T{11;10;70}
T{44;50;45}
T{78;55;59}
T{33;32;69}
T{17;24;25}
T{10;68;6}
T{80;54;53}
T{81;69;37}
T{82;55;78}
T{82;56;50}
T{29;87;85}
T{16;5;8}
T{5;90;83}
T{37;45;81}
T{28;21;66}
T{84;66;21}
T{51;52;75}
T{14;13;86}
T{12;66;84}
T{24;90;30}
T{35;64;43}
T{56;88;60}
T{38;71;46}
T{32;37;69}
T{74;50;56}
T{28;77;21}
T{20;28;66}
T{92;73;29}
T{87;41;85}
T{29;73;87}
T{13;65;12}
T{93;5;83}
T{93;97;5}
T{88;56;82}
T{55;42;59}
T{49;44;35}
T{94;64;72}
T{39;40;73}
T{30;96;72}
T{30;64;76}
T{46;69;81}
T{91;13;14}
T{25;26;18}
T{65;68;7}
T{38;47;39}
T{51;57;58}
T{67;45;74}
T{92;22;21}
T{92;34;73}
T{22;23;86}
T{52;58;80}
T{93;6;95}
T{83;9;93}
T{94;43;64}
T{89;98;41}
T{95;6;1}
T{54;62;63}
T{96;90;16}
T{97;0;8}
T{97;93;95}
T{98;89;48}
T{99;58;61}
T{97;95;0}
