T{7;8;0}
T{1;8;9}
T{96;92;4}
T{6;5;13}
T{15;9;89}
T{11;88;18}
T{74;26;19}
T{95;19;20}
T{13;21;6}
T{15;79;16}
T{88;68;17}
T{26;74;18}
T{13;95;21}
T{23;29;15}
T{79;29;30}
T{32;31;39}
T{76;18;25}
T{75;20;26}
T{35;27;34}
T{36;37;28}
T{38;30;69}
T{33;40;72}
T{38;87;45}
T{71;84;45}
T{77;66;70}
T{71;87;80}
T{82;71;55}
T{46;50;83}
T{52;99;48}
T{44;97;49}
T{85;55;56}
T{51;58;65}
T{56;62;57}
T{63;57;62}
T{64;83;63}
T{10;1;9}
T{68;3;2}
T{11;96;4}
T{5;12;13}
T{14;89;7}
T{88;11;68}
T{19;12;74}
T{14;23;89}
T{26;76;73}
T{26;20;19}
T{27;94;95}
T{78;34;75}
T{69;29;28}
T{31;30;39}
T{39;40;32}
T{41;66;78}
T{41;78;73}
T{37;43;86}
T{72;41;33}
T{46;70;66}
T{34;42;35}
T{99;86;91}
T{87;71;45}
T{81;50;46}
T{70;46;67}
T{70;47;77}
T{53;54;80}
T{85;50;82}
T{51;67;58}
T{53;98;60}
T{55;54;56}
T{58;64;65}
T{56;61;62}
T{27;35;94}
T{22;36;28}
T{68;2;10}
T{24;31;25}
T{30;38;39}
T{38;69;44}
T{70;90;47}
T{81;72;82}
T{69;30;29}
T{60;61;54}
T{77;42;34}
T{11;4;3}
T{79;15;29}
T{83;67;46}
T{80;55;71}
T{31;32;25}
T{72;81;41}
T{34;78;77}
T{66;77;78}
T{39;38;45}
T{10;16;17}
T{37;44;69}
T{50;57;83}
T{89;23;15}
T{20;75;27}
T{33;32;40}
T{82;55;85}
T{41;73;33}
T{50;81;82}
T{12;96;74}
T{18;74;11}
T{49;80;87}
T{24;79;31}
T{29;23;28}
T{75;73;78}
T{23;14;22}
T{10;17;68}
T{76;25;32}
T{33;73;76}
T{24;17;16}
T{90;70;67}
T{57;85;56}
T{34;27;75}
T{26;18;76}
T{73;75;26}
T{30;31;79}
T{79;24;16}
T{32;33;76}
T{10;9;16}
T{22;28;23}
T{25;88;24}
T{80;49;53}
T{19;13;12}
T{54;55;80}
T{61;56;54}
T{81;46;66}
T{81;66;41}
T{10;2;1}
T{84;82;72}
T{44;37;86}
T{83;64;58}
T{83;57;63}
T{45;40;39}
T{84;72;40}
T{85;57;50}
T{87;38;44}
T{87;44;49}
T{9;15;16}
T{89;9;8}
T{37;36;43}
T{69;28;37}
T{97;44;86}
T{52;49;97}
T{88;17;24}
T{88;25;18}
T{89;8;7}
T{8;93;0}
T{90;67;51}
T{53;60;54}
T{91;86;43}
T{27;95;20}
T{92;12;5}
T{77;47;42}
T{93;8;1}
T{40;45;84}
T{11;3;68}
T{82;84;71}
T{67;83;58}
T{59;52;48}
T{95;13;19}
T{95;94;21}
T{96;11;74}
T{96;12;92}
T{86;99;97}
T{98;52;59}
T{52;53;49}
T{52;98;53}
T{99;91;48}
T{99;52;97}
