{-10.0, -10.0, 5.0}
{-8.986296, -10, 4.493148}
{-7.85956, -10, 3.92978}
{-6.922888, -10.0, 3.461444}
{-5.967463, -10.0, 2.983731}
{-5.009451, -10.0, 2.504725}
{-4.038635, -10, 2.019318}
{-3.068758, -10.0, 1.534379}
{-2.116042, -10.0, 1.058021}
{-1.150075, -10, 0.575038}
{-0.143868, -10, 0.071934}
{0.880534, -10, -0.440267}
{1.905354, -10, -0.952677}
{2.929643, -10, -1.464821}
{3.952081, -10, -1.97604}
{4.932501, -10, -2.46625}
{5.880391, -10, -2.940196}
{6.865633, -10, -3.432817}
{7.889399, -10.0, -3.9447}
{8.971982, -10, -4.485991}
{10.0, -10, -5.0}
{-10.0, -8.971263, 4.485631}
{-9.016476, -8.307117, 3.745046}
{-5.503912, -9.105639, 2.505832}
{-0.647999, -9.081535, 0.294241}
{0.37819, -9.111953, -0.172302}
{7.335733, -9.143558, -3.353735}
{10.0, -9.034204, -4.517102}
{-10.0, -7.933285, 3.966643}
{-8.429969, -7.36583, 3.104686}
{-7.45097, -7.339147, 2.734188}
{-5.99542, -8.229331, 2.466915}
{-5.054577, -8.26438, 2.088647}
{-3.165951, -8.213187, 1.300128}
{-1.507658, -7.314551, 0.551392}
{1.962378, -8.301074, -0.814492}
{2.575562, -7.459297, -0.960594}
{3.637665, -7.600645, -1.38243}
{7.486055, -7.594089, -2.842488}
{7.691053, -8.427629, -3.240867}
{8.384344, -8.017053, -3.360886}
{10, -7.963935, -3.981967}
{-10.0, -6.928363, 3.464182}
{-7.948694, -6.443217, 2.560758}
{-6.934233, -6.447999, 2.235596}
{-5.507344, -7.366851, 2.028589}
{-1.238006, -6.386908, 0.395352}
{0.99316, -6.61518, -0.328497}
{2.084247, -6.608733, -0.688712}
{3.235526, -6.575721, -1.063796}
{4.348364, -6.979383, -1.517445}
{5.406334, -7.139076, -1.929811}
{7.444183, -6.78422, -2.525149}
{8.290489, -7.044784, -2.920235}
{9.14708, -7.483331, -3.422531}
{10.0, -6.987213, -3.493606}
{-10.0, -5.997067, 2.998533}
{-5.922369, -6.469242, 1.915662}
{-4.928298, -6.541805, 1.611998}
{-4.233439, -5.799421, 1.227575}
{-2.274865, -5.649239, 0.642563}
{1.501157, -5.773015, -0.43331}
{3.52168, -5.43975, -0.957853}
{6.954772, -6.151433, -2.139091}
{10.0, -6.039702, -3.019851}
{-10, -4.998971, 2.499485}
{-9.24213, -5.502599, 2.542787}
{-8.4011, -5.516783, 2.317352}
{-6.362423, -5.588732, 1.777894}
{-4.584852, -4.772085, 1.093965}
{-3.442071, -5.197099, 0.894439}
{-2.694022, -4.591632, 0.618498}
{-1.845728, -4.824026, 0.445192}
{-0.153003, -4.913032, 0.037586}
{0.941003, -4.924658, -0.231706}
{1.388181, -3.909209, -0.271334}
{2.91586, -4.719663, -0.688094}
{3.9436, -4.313302, -0.850497}
{5.478382, -5.291417, -1.44942}
{6.435069, -5.319264, -1.711492}
{7.402486, -5.303554, -1.962974}
{8.32734, -5.061615, -2.10749}
{9.082032, -5.573998, -2.531162}
{10, -5.093953, -2.546976}
{-10, -4.066993, 2.033496}
{-9.21436, -3.593056, 1.655386}
{-7.889404, -4.620936, 1.822822}
{-6.839254, -4.695668, 1.605743}
{-5.763472, -4.782965, 1.378324}
{-5.322915, -4.041084, 1.075517}
{-2.823973, -3.573711, 0.504603}
