T{0;4;5}
T{5;1;0}
T{1;5;6}
T{6;2;1}
T{2;6;7}
T{7;3;2}
T{3;7;25}
T{25;20;3}
T{4;8;9}
T{9;5;4}
T{5;9;10}
T{10;6;5}
T{6;10;11}
T{11;7;6}
T{7;11;30}
T{30;25;7}
T{8;12;13}
T{13;9;8}
T{9;13;14}
T{14;10;9}
T{10;14;15}
T{15;11;10}
T{11;15;35}
T{35;30;11}
T{12;52;53}
T{53;13;12}
T{13;53;54}
T{54;14;13}
T{14;54;55}
T{55;15;14}
T{15;55;80}
T{80;35;15}
T{16;22;21}
T{22;16;17}
T{17;23;22}
T{23;17;18}
T{18;24;23}
T{24;18;19}
T{19;25;24}
T{25;19;20}
T{21;27;26}
T{27;21;22}
T{22;28;27}
T{28;22;23}
T{23;29;28}
T{29;23;24}
T{24;30;29}
T{30;24;25}
T{26;32;31}
T{32;26;27}
T{27;33;32}
T{33;27;28}
T{28;34;33}
T{34;28;29}
T{29;35;34}
T{35;29;30}
T{31;77;76}
T{77;31;32}
T{32;78;77}
T{78;32;33}
T{33;79;78}
T{79;33;34}
T{34;80;79}
T{80;34;35}
T{36;41;40}
T{41;36;37}
T{37;42;41}
T{42;37;38}
T{38;43;42}
T{43;38;39}
T{39;65;43}
T{65;39;60}
T{40;45;44}
T{45;40;41}
T{41;46;45}
T{46;41;42}
T{42;47;46}
T{47;42;43}
T{43;70;47}
T{70;43;65}
T{44;49;48}
T{49;44;45}
T{45;50;49}
T{50;45;46}
T{46;51;50}
T{51;46;47}
T{47;75;51}
T{75;47;70}
T{48;53;52}
T{53;48;49}
T{49;54;53}
T{54;49;50}
T{50;55;54}
T{55;50;51}
T{51;80;55}
T{80;51;75}
T{56;61;62}
T{62;57;56}
T{57;62;63}
T{63;58;57}
T{58;63;64}
T{64;59;58}
T{59;64;65}
T{65;60;59}
T{61;66;67}
T{67;62;61}
T{62;67;68}
T{68;63;62}
T{63;68;69}
T{69;64;63}
T{64;69;70}
T{70;65;64}
T{66;71;72}
T{72;67;66}
T{67;72;73}
T{73;68;67}
T{68;73;74}
T{74;69;68}
T{69;74;75}
T{75;70;69}
T{71;76;77}
T{77;72;71}
T{72;77;78}
T{78;73;72}
T{73;78;79}
T{79;74;73}
T{74;79;80}
T{80;75;74}
