T{0;8;9}
T{9;1;0}
T{1;9;10}
T{10;2;1}
T{2;10;11}
T{11;3;2}
T{3;11;12}
T{12;4;3}
T{4;12;13}
T{13;5;4}
T{5;13;14}
T{14;6;5}
T{6;14;15}
T{15;7;6}
T{7;15;81}
T{81;72;7}
T{8;16;17}
T{17;9;8}
T{9;17;18}
T{18;10;9}
T{10;18;19}
T{19;11;10}
T{11;19;20}
T{20;12;11}
T{12;20;21}
T{21;13;12}
T{13;21;22}
T{22;14;13}
T{14;22;23}
T{23;15;14}
T{15;23;90}
T{90;81;15}
T{16;24;25}
T{25;17;16}
T{17;25;26}
T{26;18;17}
T{18;26;27}
T{27;19;18}
T{19;27;28}
T{28;20;19}
T{20;28;29}
T{29;21;20}
T{21;29;30}
T{30;22;21}
T{22;30;31}
T{31;23;22}
T{23;31;99}
T{99;90;23}
T{24;32;33}
T{33;25;24}
T{25;33;34}
T{34;26;25}
T{26;34;35}
T{35;27;26}
T{27;35;36}
T{36;28;27}
T{28;36;37}
T{37;29;28}
T{29;37;38}
T{38;30;29}
T{30;38;39}
T{39;31;30}
T{31;39;108}
T{108;99;31}
T{32;40;41}
T{41;33;32}
T{33;41;42}
T{42;34;33}
T{34;42;43}
T{43;35;34}
T{35;43;44}
T{44;36;35}
T{36;44;45}
T{45;37;36}
T{37;45;46}
T{46;38;37}
T{38;46;47}
T{47;39;38}
T{39;47;117}
T{117;108;39}
T{40;48;49}
T{49;41;40}
T{41;49;50}
T{50;42;41}
T{42;50;51}
T{51;43;42}
T{43;51;52}
T{52;44;43}
T{44;52;53}
T{53;45;44}
T{45;53;54}
T{54;46;45}
T{46;54;55}
T{55;47;46}
T{47;55;126}
T{126;117;47}
T{48;56;57}
T{57;49;48}
T{49;57;58}
T{58;50;49}
T{50;58;59}
T{59;51;50}
T{51;59;60}
T{60;52;51}
T{52;60;61}
T{61;53;52}
T{53;61;62}
T{62;54;53}
T{54;62;63}
T{63;55;54}
T{55;63;135}
T{135;126;55}
T{56;200;201}
T{201;57;56}
T{57;201;202}
T{202;58;57}
T{58;202;203}
T{203;59;58}
T{59;203;204}
T{204;60;59}
T{60;204;205}
T{205;61;60}
T{61;205;206}
T{206;62;61}
T{62;206;207}
T{207;63;62}
T{63;207;288}
T{288;135;63}
T{64;74;73}
T{74;64;65}
T{65;75;74}
T{75;65;66}
T{66;76;75}
T{76;66;67}
T{67;77;76}
T{77;67;68}
T{68;78;77}
T{78;68;69}
T{69;79;78}
T{79;69;70}
T{70;80;79}
T{80;70;71}
T{71;81;80}
T{81;71;72}
T{73;83;82}
T{83;73;74}
T{74;84;83}
T{84;74;75}
T{75;85;84}
T{85;75;76}
T{76;86;85}
T{86;76;77}
T{77;87;86}
T{87;77;78}
T{78;88;87}
T{88;78;79}
T{79;89;88}
T{89;79;80}
T{80;90;89}
T{90;80;81}
T{82;92;91}
T{92;82;83}
T{83;93;92}
T{93;83;84}
T{84;94;93}
T{94;84;85}
T{85;95;94}
T{95;85;86}
T{86;96;95}
T{96;86;87}
T{87;97;96}
T{97;87;88}
T{88;98;97}
T{98;88;89}
T{89;99;98}
T{99;89;90}
T{91;101;100}
T{101;91;92}
T{92;102;101}
T{102;92;93}
T{93;103;102}
T{103;93;94}
T{94;104;103}
T{104;94;95}
T{95;105;104}
T{105;95;96}
T{96;106;105}
T{106;96;97}
T{97;107;106}
T{107;97;98}
T{98;108;107}
T{108;98;99}
T{100;110;109}
T{110;100;101}
T{101;111;110}
T{111;101;102}
T{102;112;111}
T{112;102;103}
T{103;113;112}
T{113;103;104}
T{104;114;113}
T{114;104;105}
T{105;115;114}
T{115;105;106}
T{106;116;115}
T{116;106;107}
T{107;117;116}
T{117;107;108}
T{109;119;118}
T{119;109;110}
T{110;120;119}
T{120;110;111}
T{111;121;120}
T{121;111;112}
T{112;122;121}
T{122;112;113}
T{113;123;122}
T{123;113;114}
T{114;124;123}
T{124;114;115}
T{115;125;124}
T{125;115;116}
T{116;126;125}
T{126;116;117}
T{118;128;127}
T{128;118;119}
T{119;129;128}
T{129;119;120}
T{120;130;129}
T{130;120;121}
T{121;131;130}
T{131;121;122}
T{122;132;131}
T{132;122;123}
T{123;133;132}
T{133;123;124}
T{124;134;133}
T{134;124;125}
T{125;135;134}
T{135;125;126}
T{127;281;280}
T{281;127;128}
T{128;282;281}
T{282;128;129}
T{129;283;282}
T{283;129;130}
T{130;284;283}
T{284;130;131}
T{131;285;284}
T{285;131;132}
T{132;286;285}
T{286;132;133}
T{133;287;286}
T{287;133;134}
T{134;288;287}
T{288;134;135}
T{136;145;144}
T{145;136;137}
T{137;146;145}
T{146;137;138}
T{138;147;146}
T{147;138;139}
T{139;148;147}
T{148;139;140}
T{140;149;148}
T{149;140;141}
T{141;150;149}
T{150;141;142}
T{142;151;150}
T{151;142;143}
T{143;225;151}
T{225;143;216}
T{144;153;152}
T{153;144;145}
T{145;154;153}
T{154;145;146}
T{146;155;154}
T{155;146;147}
T{147;156;155}
T{156;147;148}
T{148;157;156}
T{157;148;149}
T{149;158;157}
T{158;149;150}
T{150;159;158}
T{159;150;151}
T{151;234;159}
T{234;151;225}
T{152;161;160}
T{161;152;153}
T{153;162;161}
T{162;153;154}
T{154;163;162}
T{163;154;155}
T{155;164;163}
T{164;155;156}
T{156;165;164}
T{165;156;157}
T{157;166;165}
T{166;157;158}
T{158;167;166}
T{167;158;159}
T{159;243;167}
T{243;159;234}
T{160;169;168}
T{169;160;161}
T{161;170;169}
T{170;161;162}
T{162;171;170}
T{171;162;163}
T{163;172;171}
T{172;163;164}
T{164;173;172}
T{173;164;165}
T{165;174;173}
T{174;165;166}
T{166;175;174}
T{175;166;167}
T{167;252;175}
T{252;167;243}
T{168;177;176}
T{177;168;169}
T{169;178;177}
T{178;169;170}
T{170;179;178}
T{179;170;171}
T{171;180;179}
T{180;171;172}
T{172;181;180}
T{181;172;173}
T{173;182;181}
T{182;173;174}
T{174;183;182}
T{183;174;175}
T{175;261;183}
T{261;175;252}
T{176;185;184}
T{185;176;177}
T{177;186;185}
T{186;177;178}
T{178;187;186}
T{187;178;179}
T{179;188;187}
T{188;179;180}
T{180;189;188}
T{189;180;181}
T{181;190;189}
T{190;181;182}
T{182;191;190}
T{191;182;183}
T{183;270;191}
T{270;183;261}
T{184;193;192}
T{193;184;185}
T{185;194;193}
T{194;185;186}
T{186;195;194}
T{195;186;187}
T{187;196;195}
T{196;187;188}
T{188;197;196}
T{197;188;189}
T{189;198;197}
T{198;189;190}
T{190;199;198}
T{199;190;191}
T{191;279;199}
T{279;191;270}
T{192;201;200}
T{201;192;193}
T{193;202;201}
T{202;193;194}
T{194;203;202}
T{203;194;195}
T{195;204;203}
T{204;195;196}
T{196;205;204}
T{205;196;197}
T{197;206;205}
T{206;197;198}
T{198;207;206}
T{207;198;199}
T{199;288;207}
T{288;199;279}
T{208;217;218}
T{218;209;208}
T{209;218;219}
T{219;210;209}
T{210;219;220}
T{220;211;210}
T{211;220;221}
T{221;212;211}
T{212;221;222}
T{222;213;212}
T{213;222;223}
T{223;214;213}
T{214;223;224}
T{224;215;214}
T{215;224;225}
T{225;216;215}
T{217;226;227}
T{227;218;217}
T{218;227;228}
T{228;219;218}
T{219;228;229}
T{229;220;219}
T{220;229;230}
T{230;221;220}
T{221;230;231}
T{231;222;221}
T{222;231;232}
T{232;223;222}
T{223;232;233}
T{233;224;223}
T{224;233;234}
T{234;225;224}
T{226;235;236}
T{236;227;226}
T{227;236;237}
T{237;228;227}
T{228;237;238}
T{238;229;228}
T{229;238;239}
T{239;230;229}
T{230;239;240}
T{240;231;230}
T{231;240;241}
T{241;232;231}
T{232;241;242}
T{242;233;232}
T{233;242;243}
T{243;234;233}
T{235;244;245}
T{245;236;235}
T{236;245;246}
T{246;237;236}
T{237;246;247}
T{247;238;237}
T{238;247;248}
T{248;239;238}
T{239;248;249}
T{249;240;239}
T{240;249;250}
T{250;241;240}
T{241;250;251}
T{251;242;241}
T{242;251;252}
T{252;243;242}
T{244;253;254}
T{254;245;244}
T{245;254;255}
T{255;246;245}
T{246;255;256}
T{256;247;246}
T{247;256;257}
T{257;248;247}
T{248;257;258}
T{258;249;248}
T{249;258;259}
T{259;250;249}
T{250;259;260}
T{260;251;250}
T{251;260;261}
T{261;252;251}
T{253;262;263}
T{263;254;253}
T{254;263;264}
T{264;255;254}
T{255;264;265}
T{265;256;255}
T{256;265;266}
T{266;257;256}
T{257;266;267}
T{267;258;257}
T{258;267;268}
T{268;259;258}
T{259;268;269}
T{269;260;259}
T{260;269;270}
T{270;261;260}
T{262;271;272}
T{272;263;262}
T{263;272;273}
T{273;264;263}
T{264;273;274}
T{274;265;264}
T{265;274;275}
T{275;266;265}
T{266;275;276}
T{276;267;266}
T{267;276;277}
T{277;268;267}
T{268;277;278}
T{278;269;268}
T{269;278;279}
T{279;270;269}
T{271;280;281}
T{281;272;271}
T{272;281;282}
T{282;273;272}
T{273;282;283}
T{283;274;273}
T{274;283;284}
T{284;275;274}
T{275;284;285}
T{285;276;275}
T{276;285;286}
T{286;277;276}
T{277;286;287}
T{287;278;277}
T{278;287;288}
T{288;279;278}
